workload,size,source_bytes,mode,batch_iterations,median_ms,p95_ms,mean_ms,min_ms,allocated_mib
simple_bindings,100,1780,inference,2048,0.045461,0.052156,0.045940,0.045242,0.144432
simple_bindings,1000,19780,inference,128,0.671992,0.963164,0.693668,0.662586,1.623818
simple_bindings,10000,217780,inference,16,8.674324,8.802116,8.675452,8.539200,18.324385
wide_set,100,6770,inference,512,0.194686,0.196062,0.194650,0.193777,0.712647
wide_set,400,28670,inference,64,1.333468,1.349315,1.334199,1.321111,4.370714
wide_set,1200,88070,inference,16,6.901249,6.943256,6.889971,6.768376,24.379827
generic_chain,1,208,inference,256,0.371672,0.535329,0.383106,0.367589,0.034676
generic_chain,2,273,inference,64,1.444235,1.458857,1.445910,1.438532,0.053216
generic_chain,5,468,inference,4,19.180477,19.345224,19.170574,19.033968,0.112282
generic_chain,10,796,inference,1,219.810009,255.872965,222.116248,218.560934,0.213646
generic_chain,15,1141,inference,1,975.846052,1265.905142,1004.923248,970.844984,0.323868
generic_chain,20,1486,inference,1,2959.702015,3153.913975,2962.261883,2920.290947,0.435394
solver_chain,5,0,solver,8,13.924748,19.305021,14.280198,13.848126,0.040714
solver_chain,10,0,solver,1,142.304897,162.753105,144.608068,139.486790,0.080009
solver_chain,15,0,solver,1,608.988047,655.076027,618.542004,601.227045,0.124908
